StationName	EventNum	FibreHit	Total Energy Deposit [MeV]	True PosX [mm]	True PosY [mm]	True PosZ [mm]	Station Depth [mm]	Time [ns]
St1_H	198	265	0.0955468	5.31341	-2.82724	-137.744	12.2759	0.071258
St1_H	200	262	0.0899486	5.30825	-1.51701	-137.936	12.2759	0.0702471
St1_H	201	262	0.0657022	6.20993	-0.845446	-137.885	12.2759	0.0706162
St1_H	202	260	0.0255509	4.28543	-1.57763	-137.837	12.2759	0.0707002
St1_H	203	257	0.0618203	4.25177	-0.376651	-137.719	12.2759	0.0716083
St1_H	204	253	0.0944862	4.08733	1.12225	-137.744	12.2759	0.0714127
St1_H	206	258	0.0365591	5.12924	0.114746	-137.874	12.2759	0.070626
St1_H	208	267	0.0414027	4.88838	-4.32809	-137.68	12.2759	0.0716332
St1_H	209	261	0.0778699	3.84159	-2.49279	-137.705	12.2759	0.071529
St1_H	210	261	0.0837879	4.32192	-2.18681	-137.747	12.2759	0.0714286
St1_H	211	261	0.11261	5.5408	-0.951696	-137.749	12.2759	0.0714128
St1_H	212	254	0.192864	5.19882	1.77523	-137.947	12.2759	0.0701679
St1_H	213	264	0.110422	4.43739	-3.43158	-137.924	12.2759	0.0703454
St1_H	214	262	0.0862372	4.92465	-1.84485	-137.906	12.2759	0.0705014
St1_H	215	255	0.0885949	5.21292	1.35804	-137.749	12.2759	0.0714613
St1_H	218	259	0.108507	4.28315	-1.23574	-137.733	12.2759	0.0714608
St1_H	219	262	0.0831672	5.48183	-1.28616	-137.905	12.2759	0.0704029
St1_H	220	263	0.146835	5.33544	-1.8679	-137.71	12.2759	0.071642
St1_H	221	262	0.103336	5.30744	-1.67871	-137.933	12.2759	0.0703439
St1_H	222	261	0.0681936	5.3287	-1.03981	-137.727	12.2759	0.0715189
St1_H	224	261	0.108655	5.64372	-0.966542	-137.701	12.2759	0.071698
St1_H	225	263	0.0328113	4.86619	-2.62721	-137.677	12.2759	0.071777
St1_H	227	258	0.102849	3.48661	-1.54758	-137.898	12.2759	0.0704955
St1_H	228	259	0.00161874	3.49979	-2.21994	-137.529	12.2759	0.0735248
St1_H	228	259	0.00092342	3.49621	-2.22119	-137.532	12.2759	0.0735583
St1_H	228	259	0.00291711	3.49413	-2.22242	-137.536	12.2759	0.0735912
St1_H	228	259	0.00223328	3.49063	-2.22455	-137.541	12.2759	0.0736293
St1_H	228	259	0.00883969	3.48693	-2.22739	-137.546	12.2759	0.0736772
St1_H	228	259	0.00801259	3.48075	-2.22767	-137.552	12.2759	0.0737344
St1_H	228	259	0.0130269	3.47042	-2.23504	-137.559	12.2759	0.073832
St1_H	228	259	0.0446683	3.46122	-2.24046	-137.574	12.2759	0.0739557
St1_H	229	254	0.0567354	4.06242	0.470865	-137.899	12.2759	0.0703638
St1_H	230	257	0.108207	5.55132	0.814324	-137.75	12.2759	0.0714707
St1_H	231	261	0.096215	4.40584	-2.0748	-137.75	12.2759	0.0713924
St1_H	233	258	0.0960443	4.41739	-0.799565	-137.945	12.2759	0.0702076
St1_H	235	260	0.0778752	4.01447	-2.12641	-137.925	12.2759	0.0702858
St1_H	236	263	0.0950601	4.59288	-2.68937	-137.745	12.2759	0.0713025
St1_H	237	257	0.0927915	4.90681	0.2205	-137.743	12.2759	0.0713174
St1_H	238	260	0.0983868	5.45361	-0.515869	-137.938	12.2759	0.0703351
St1_H	239	257	0.078936	4.92582	0.264635	-137.735	12.2759	0.0713704
St1_H	240	253	0.077353	3.61928	0.722452	-137.715	12.2759	0.0715124
St1_H	241	259	0.0833505	5.6909	0.155479	-137.739	12.2759	0.0713254
St1_H	242	253	0.0425531	3.97061	0.802579	-137.693	12.2759	0.0717616
St1_H	243	257	0.339326	4.02096	-0.682558	-137.747	12.2759	0.0713716
St1_H	244	257	0.130296	4.63542	0.0182495	-137.712	12.2759	0.0715612
St1_H	245	258	0.0974241	3.9896	-1.26414	-137.935	12.2759	0.0702768
St1_H	247	260	0.101064	4.79164	-1.24499	-137.948	12.2759	0.0703929
St1_H	248	259	0.0768961	3.59023	-1.91138	-137.725	12.2759	0.0716208
St1_H	249	269	0.138123	4.75395	-5.12639	-137.747	12.2759	0.0713419
St1_H	250	262	0.0835978	3.61095	-3.21668	-137.937	12.2759	0.0702183
St1_H	251	259	0.0350086	5.23131	-0.209258	-137.666	12.2759	0.0718543
St1_H	253	263	0.0945788	5.10809	-2.141	-137.735	12.2759	0.071342
St1_H	254	262	0.0535615	3.17759	-3.58116	-137.897	12.2759	0.0705941
St1_H	255	257	0.0811522	4.35637	-0.482568	-137.731	12.2759	0.0713988
St1_H	257	260	0.107733	4.48535	-1.6861	-137.906	12.2759	0.0705473
St1_H	258	257	0.0129057	4.70718	-0.211234	-137.648	12.2759	0.07185
St1_H	259	255	0.0847815	4.89519	0.899358	-137.721	12.2759	0.0715364
